installer,target,package_name,url,confidence
apk,apk,apk-tools-static,https://repology.org/project/apk-tools/versions,repology
apk,apt,apt,https://repology.org/project/apt/versions,repology
apk,Bundler,ruby-bundler-doc,https://repology.org/project/ruby:bundler/versions,repology
apk,Cargo,rust,https://repology.org/project/rust/versions,repology
apk,Composer,composer,https://repology.org/project/php:composer/versions,repology
apk,CPAN,miniperl,https://repology.org/project/perl/versions,repology
apk,CRAN,R,https://repology.org/project/r/versions,repology
apk,dub,dub-zsh-completion,https://repology.org/project/dub/versions,repology
apk,Go,go,https://repology.org/project/go/versions,repology
apk,Gradle,gradle,https://repology.org/project/gradle/versions,repology
apk,Guix,guix,https://repology.org/project/guix/versions,repology
apk,Helm,helm-fish-completion,https://repology.org/project/kubernetes-helm/versions,repology
apk,Hex,elixir-doc,https://repology.org/project/elixir/versions,repology
apk,LuaRocks,luarocks5.1,https://repology.org/project/luarocks/versions,repology
apk,Maven,maven,https://repology.org/project/maven/versions,repology
apk,Nix,nix,https://repology.org/project/nix/versions,repology
apk,npm,npm,https://repology.org/project/npm/versions,repology
apk,opam,opam,https://repology.org/project/opam/versions,repology
apk,pacman,pacman-dev,https://repology.org/project/pacman-package-manager/versions,repology
apk,pip,py3-pip,https://repology.org/project/pip/versions,repology
apk,pnpm,pnpm,https://repology.org/project/pnpm/versions,repology
apk,Poetry,poetry,https://repology.org/project/poetry/versions,repology
apk,RubyGems,ruby-rdoc,https://repology.org/project/ruby/versions,repology
apk,Stack,stack,https://repology.org/project/haskell:stack/versions,repology
apk,uv,py3-uv,https://repology.org/project/uv/versions,repology
apk,Yarn,yarn-berry,https://repology.org/project/yarn/versions,repology
apt,apt,apt,https://repology.org/project/apt/versions,repology
apt,Bundler,bundler,https://repology.org/project/ruby:bundler/versions,repology
apt,Cargo,rust-cargo,https://repology.org/project/cargo/versions,repology
apt,Composer,composer,https://repology.org/project/php:composer/versions,repology
apt,CPAN,perl,https://repology.org/project/perl/versions,repology
apt,CRAN,r-base,https://repology.org/project/r/versions,repology
apt,DNF,dnf,https://repology.org/project/dnf/versions,repology
